Model,Ticker,Sector,RMSE,MAE,MAPE,R2,Train_Time_Sec
LinearRegression,AAPL,Technology,0.7185730768819666,0.5560693840641959,0.27639300208381967,0.9991734848219973,0.08037972450256348
LinearRegression,NVDA,Technology,0.8837491157231033,0.6493338489869275,0.6728726897571137,0.9993808986224721,0.04320812225341797
LinearRegression,JNJ,Healthcare,0.171590061436246,0.1321473232759354,0.08897200975993276,0.9991954232997676,0.03342604637145996
LinearRegression,PFE,Healthcare,0.08626322178049713,0.06385869632005449,0.2559316406064481,0.9970823311201987,0.03341174125671387
LinearRegression,JPM,Financials,0.9095706891900759,0.5498465485191474,0.28066510348199836,0.9991281272877914,0.03627157211303711
LinearRegression,GS,Financials,2.058841783574249,1.354739129203938,0.30957390413818264,0.9994109143907227,0.03654122352600098
LinearRegression,XOM,Energy,0.3525630870975606,0.27261922077464573,0.260777883135032,0.9976543472552393,0.03248190879821777
LinearRegression,CVX,Energy,0.4425043885317969,0.3393253469139489,0.23936085506908564,0.9960190780308729,0.03546023368835449
LinearRegression,PG,Consumer Goods,0.3386570513530211,0.23916329437438547,0.15341310038166595,0.9989073869153998,0.032300710678100586
LinearRegression,KO,Consumer Goods,0.10460372682557247,0.07693269425099553,0.1272952659637681,0.999563731080812,0.037122488021850586
