Model,RMSE,MAE,MAPE,R2
Naive (Prev. Close),2.2570075501347815,1.5636597014925369,1.0362937116278135,0.97221647847824
ARIMA,2.275462893569411,1.5803228390682516,1.0451375789201864,0.9717002871725713
Linear Regression,0.6066916202394089,0.42340354866841745,0.2665255454377046,0.9985515722825273
Random Forest,24.19964641889679,17.668912066669122,9.085908008845635,0.05564786444097145
XGBoost,26.80277982516521,20.4282026853351,11.849994239236732,-0.2759509567532462
LSTM,21.01502852635077,15.874400951839917,9.811546344374246,0.19229178940593772
