Model,Ticker,Sector,Epochs_Trained,RMSE,MAE,MAPE,R2,Train_Time_Sec
LSTM,AAPL,Technology,36,20.648767414223695,15.806226685178336,7.267954986010365,0.3175085490276366,12.7039315700531
LSTM,NVDA,Technology,34,70.53379857539528,59.29420921044564,55.74382456425923,-2.943649710702202,11.082235097885132
LSTM,JNJ,Healthcare,25,2.3236985062982067,1.4260029851636329,0.9630716797706298,0.8524487986513116,10.406216382980347
LSTM,PFE,Healthcare,45,0.6158854843254284,0.4972066314197771,2.0131782118230452,0.8512747897674505,15.393101930618286
LSTM,JPM,Financials,39,34.25295729613775,25.7961211116509,12.399432670710839,-0.2364493140361663,11.801241159439087
LSTM,GS,Financials,57,64.86412578631358,42.79027264856419,8.553077167336744,0.41528854132177306,18.174726247787476
LSTM,XOM,Energy,49,3.9208067670773965,3.3248106269790743,3.0791736221872488,0.7099045505807107,13.954508781433105
LSTM,CVX,Energy,30,2.149044644198198,1.6557632060976548,1.1560547010545625,0.9061056681507428,9.944998264312744
LSTM,PG,Consumer Goods,38,7.787942971433493,6.163380366025503,3.833419522043218,0.4221811880084061,15.63791036605835
LSTM,KO,Consumer Goods,41,3.053257818104668,1.9900160468744417,3.1062763185465716,0.6283048332897143,12.647600650787354
