Ticker,Naive (Prev. Close),ARIMA,Linear Regression,Random Forest,XGBoost,LSTM
AAPL,2.7008622724836178,2.7483715383914147,0.7185730768819666,24.29516861840978,34.95217794445795,20.64876741422369
NVDA,3.076805428003377,3.068691938518284,0.8837491157231033,57.48781118373878,70.64860387926352,70.53379857539528
JNJ,1.3707858079741275,1.3962010823615454,0.171590061436246,0.6035186193502857,0.6338908782547811,2.3236985062982067
PFE,0.3902720061777044,0.3902565458292583,0.0862632217804971,0.2500342010398196,0.1875302112563924,0.6158854843254284
JPM,2.7253374979279057,2.6917003393641785,0.909570689190076,44.50539692269791,44.39192707583572,34.25295729613775
GS,7.16680986088577,7.2791487356793,2.058841783574249,92.79662986415492,91.0662541913526,64.86412578631358
XOM,1.3409605601510428,1.3404964832526478,0.3525630870975606,4.835525918095166,8.699506114644906,3.920806767077397
CVX,1.8313988618115875,1.8542331283644071,0.4425043885317969,0.8674634063586115,1.016568493298269,2.149044644198198
PG,1.4640910786447563,1.4790890573029098,0.3386570513530211,12.224939843475704,12.087357614751516,7.787942971433493
KO,0.5027521272879283,0.5130472567261827,0.1046037268255724,4.129975611646919,4.343981848536394,3.053257818104668
