Model,Ticker,Sector,Best_Params,Best_Iteration,RMSE,MAE,MAPE,R2,Train_Time_Sec
XGBoost,AAPL,Technology,"{'learning_rate': 0.1190305266358388, 'max_depth': 9, 'n_estimators': 332, 'reg_alpha': 0.001, 'reg_lambda': 0.001}",75,34.95217794445795,25.927948848745736,11.773445129886607,-0.9554982708403341,42.21402907371521
XGBoost,NVDA,Technology,"{'learning_rate': 0.15078934329936244, 'max_depth': 3, 'n_estimators': 264, 'reg_alpha': 0.001, 'reg_lambda': 0.001}",229,70.64860387926352,61.21788704174668,59.69309428604205,-2.9564980295637704,24.963531255722046
XGBoost,JNJ,Healthcare,"{'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 50, 'reg_alpha': 0.001, 'reg_lambda': 0.001}",43,0.6338908782547811,0.4930577331229821,0.3328229655955902,0.9890197507976345,31.26730179786682
XGBoost,PFE,Healthcare,"{'learning_rate': 0.057397553045148784, 'max_depth': 3, 'n_estimators': 500, 'reg_alpha': 0.001, 'reg_lambda': 0.001}",365,0.18753021125639247,0.13904628614658654,0.5625550951364183,0.9862111787914623,29.046484231948853
XGBoost,JPM,Financials,"{'learning_rate': 0.06744816062043275, 'max_depth': 3, 'n_estimators': 500, 'reg_alpha': 0.001, 'reg_lambda': 0.001}",474,44.39192707583572,35.13946166687224,17.071913355978182,-1.0767688854610595,32.877511501312256
XGBoost,GS,Financials,"{'learning_rate': 0.14999503561061375, 'max_depth': 3, 'n_estimators': 279, 'reg_alpha': 0.001, 'reg_lambda': 0.001}",274,91.06625419135261,61.60793716240817,12.259696311729128,-0.15251719304943623,31.966203212738037
XGBoost,XOM,Energy,"{'learning_rate': 0.3, 'max_depth': 10, 'n_estimators': 500, 'reg_alpha': 0.001, 'reg_lambda': 0.001761444187627838}",26,8.699506114644906,7.114201084151198,6.4853795078076715,-0.42816778840674385,26.977002382278442
XGBoost,CVX,Energy,"{'learning_rate': 0.175822519052268, 'max_depth': 3, 'n_estimators': 200, 'reg_alpha': 0.006471261876712586, 'reg_lambda': 10.0}",194,1.016568493298269,0.7356198958389815,0.5239524127187187,0.9789902061326967,29.175514936447144
XGBoost,PG,Consumer Goods,"{'learning_rate': 0.12894922980390072, 'max_depth': 3, 'n_estimators': 261, 'reg_alpha': 0.001, 'reg_lambda': 0.001}",171,12.087357614751516,9.260483977324917,5.722550109726587,-0.3919027543464113,33.82243251800537
XGBoost,KO,Consumer Goods,"{'learning_rate': 0.11494696560355774, 'max_depth': 3, 'n_estimators': 321, 'reg_alpha': 0.003047503738565941, 'reg_lambda': 10.0}",318,4.343981848536394,2.6463831569934957,4.074533217746362,0.24762221841349963,34.36822485923767
