Ticker,Sector,Model,RMSE,MAPE,R2
AAPL,Technology,Linear Regression,0.7185730768819666,0.2763930020838196,0.9991734848219972
NVDA,Technology,Linear Regression,0.8837491157231033,0.6728726897571137,0.999380898622472
JNJ,Healthcare,Linear Regression,0.171590061436246,0.0889720097599327,0.9991954232997676
PFE,Healthcare,Linear Regression,0.0862632217804971,0.2559316406064481,0.9970823311201988
JPM,Financials,Linear Regression,0.909570689190076,0.2806651034819983,0.9991281272877914
GS,Financials,Linear Regression,2.058841783574249,0.3095739041381826,0.9994109143907228
XOM,Energy,Linear Regression,0.3525630870975606,0.260777883135032,0.9976543472552392
CVX,Energy,Linear Regression,0.4425043885317969,0.2393608550690856,0.9960190780308728
PG,Consumer Goods,Linear Regression,0.3386570513530211,0.1534131003816659,0.9989073869153998
KO,Consumer Goods,Linear Regression,0.1046037268255724,0.1272952659637681,0.999563731080812
