Model,Ticker,Sector,RMSE,MAE,MAPE,R2
Naive (Prev. Close),AAPL,Technology,2.7008622724836178,1.9919701492537305,1.0028892032958547,0.9883234692452326
Naive (Prev. Close),NVDA,Technology,3.076805428003377,2.175910447761194,2.2774831952332963,0.9924958094735216
Naive (Prev. Close),JNJ,Healthcare,1.3707858079741275,1.025253731343283,0.6958114072195378,0.9486521349570586
Naive (Prev. Close),PFE,Healthcare,0.3902720061777044,0.2889552238805969,1.1443219580302315,0.9402800471123376
Naive (Prev. Close),JPM,Financials,2.7253374979279057,1.7124179104477597,0.906097349911022,0.9921725418345084
Naive (Prev. Close),GS,Financials,7.16680986088577,4.64,1.0880193439416397,0.9928618736408168
Naive (Prev. Close),XOM,Energy,1.3409605601510428,1.034716417910448,0.9855538541365764,0.9660670163688176
Naive (Prev. Close),CVX,Energy,1.8313988618115875,1.33155223880597,0.9360046138288448,0.9318109907336416
Naive (Prev. Close),PG,Consumer Goods,1.4640910786447563,1.059074626865672,0.6891766227453684,0.9795787491429632
Naive (Prev. Close),KO,Consumer Goods,0.5027521272879283,0.3767462686567163,0.6375795679357629,0.9899221522735028
ARIMA,AAPL,Technology,2.7483715383914147,2.0358094604568686,1.023727227329433,0.9879090664144998
ARIMA,NVDA,Technology,3.068691938518284,2.1744553170992003,2.276993462038807,0.9925353341660736
ARIMA,JNJ,Healthcare,1.3962010823615454,1.050787024437829,0.7132403930870067,0.9467304371414268
ARIMA,PFE,Healthcare,0.3902565458292583,0.2921734236286282,1.157572909340754,0.940284778545689
ARIMA,JPM,Financials,2.6917003393641785,1.7102352475706124,0.9032744935256444,0.9923645684127826
ARIMA,GS,Financials,7.2791487356793,4.709529805808777,1.1017337235590947,0.9926363412614058
ARIMA,XOM,Energy,1.3404964832526478,1.033819041709022,0.9847026584447496,0.9660904992203362
ARIMA,CVX,Energy,1.8542331283644071,1.3497585348141306,0.9487905660443424,0.9301000004791722
ARIMA,PG,Consumer Goods,1.4790890573029098,1.0735676695286946,0.6976906359610705,0.9791582203596458
ARIMA,KO,Consumer Goods,0.5130472567261827,0.3801251019405278,0.6434225414978799,0.9895051871652588
Linear Regression,AAPL,Technology,0.7185730768819666,0.5560693840641959,0.2763930020838196,0.9991734848219972
Linear Regression,NVDA,Technology,0.8837491157231033,0.6493338489869275,0.6728726897571137,0.999380898622472
Linear Regression,JNJ,Healthcare,0.171590061436246,0.1321473232759354,0.0889720097599327,0.9991954232997676
Linear Regression,PFE,Healthcare,0.0862632217804971,0.0638586963200544,0.2559316406064481,0.9970823311201988
Linear Regression,JPM,Financials,0.909570689190076,0.5498465485191474,0.2806651034819983,0.9991281272877914
Linear Regression,GS,Financials,2.058841783574249,1.354739129203938,0.3095739041381826,0.9994109143907228
Linear Regression,XOM,Energy,0.3525630870975606,0.2726192207746457,0.260777883135032,0.9976543472552392
Linear Regression,CVX,Energy,0.4425043885317969,0.3393253469139489,0.2393608550690856,0.9960190780308728
