Ticker,Naive (Prev. Close),ARIMA,Linear Regression,Random Forest,XGBoost,LSTM
AAPL,0.9883234692452326,0.9879090184536584,0.9991734848219972,0.0551806350405488,-0.955498270840334,0.3175085490276366
NVDA,0.9924958094735216,0.992539885525183,0.999380898622472,-1.6197227568616457,-2.9564980295637704,-2.943649710702202
JNJ,0.9486521349570586,0.9467304051250102,0.9991954232997676,0.990046758570588,0.9890197507976344,0.8524487986513116
PFE,0.9402800471123376,0.9399550431312677,0.9970823311201988,0.9754877323263992,0.9862111787914624,0.8512747897674505
JPM,0.9921725418345084,0.9923645686329332,0.9991281272877914,-1.0873992786565712,-1.0767688854610595,-0.2364493140361663
GS,0.9928618736408168,0.9926499954630046,0.9994109143907228,-0.1967319187759968,-0.1525171930494362,0.415288541321773
XOM,0.9660670163688176,0.9660904992203362,0.9976543472552392,0.55875736544089,-0.4281677884067438,0.7099045505807107
CVX,0.9318109907336416,0.9300999786822371,0.9960190780308728,0.9847014303797856,0.9789902061326968,0.9061056681507428
PG,0.9795787491429632,0.979158221413967,0.9989073869153998,-0.4237692636364474,-0.3919027543464113,0.4221811880084061
KO,0.9899221522735028,0.9895052560781148,0.999563731080812,0.3199279405821639,0.2476222184134996,0.6283048332897143
