Ticker,Sector,SMA_5,SMA_10,SMA_20,SMA_50,EMA_12,EMA_26,MACD,MACD_signal,Close_lag_1,Close_lag_5,Close_lag_10,Volume_lag_1,Volume_lag_5,Volume_lag_10,RSI_14,ROC_5,ROC_10,Daily_Return,Volatility_10
AAPL,Technology,0.24165142057644098,0.12107830764604642,0.08883375310446118,0.09629927693860478,0.12100341811631198,0.12058935718754368,6.031027698422354e-05,5.469971640475238e-05,0.2082583395501677,0.00018885993820276102,4.407204895352332e-05,7.61823175660754e-05,3.878883830066605e-05,4.80579830803951e-05,0.00013668967737468077,0.0002446926656166521,9.66471841463954e-05,0.0012165320521960842,8.059418159706996e-05
NVDA,Technology,0.35332186713893743,0.03198386747660406,0.01374881017319029,0.02131772714807024,0.028956594332738915,0.023973572536124668,0.0003639819160299101,0.00017569982138103537,0.5180547926772336,0.004229633531442336,0.0015820427712115274,7.110173402589381e-05,8.511296954701736e-05,5.4424117536866544e-05,0.0002646858125094896,0.0003769441782009245,0.00014310031238847092,0.001180309350550758,0.00011573200227643282
JNJ,Healthcare,0.18528138436435881,0.14213998874914444,0.14645585059645744,0.008278976603983251,0.11528132272103457,0.17853306505634656,0.00047924140925835636,0.00013308647031247137,0.2166723272433539,0.00013019014351863055,6.757039004575803e-05,0.00012857383011481282,9.704156605233214e-05,0.00010857964728130798,0.0003180108596659952,0.0015073911114596669,0.0007676166564746969,0.0034583718128547037,0.00016141076828210646
PFE,Healthcare,0.16673897877265698,9.625846372045301e-05,8.192349117643355e-05,8.239465171463241e-05,0.0001259748450913623,6.139970122657804e-05,0.0007777903108553127,0.00010168586256792679,0.8253815816272605,6.667238267506361e-05,5.6146757237989666e-05,0.000167304003182288,9.208353585680139e-05,0.00010223767568548441,0.00030915012826005314,0.0008473284694420912,0.0004307168565937883,0.0029793019794344673,0.0015010704853618087
JPM,Financials,0.07785632096723287,8.68772148126079e-05,4.8337522143126e-05,0.00011703281287197779,0.000658685663831991,0.00022829993624288693,0.0002450038080212425,0.00031635659837036726,0.9138589182949152,7.602218985119852e-05,6.469817762259537e-05,0.0001334035695304508,0.0001292007141833642,0.0001211657261248187,0.00029803460386202557,0.0010014215338615157,0.0004026742636351132,0.004177973029400657,0.000179573373485907
GS,Financials,0.09366297401348388,0.016008186916518577,0.014441473499150974,0.0018173117716569925,0.026663913543395566,0.010902723024269282,0.0002658865038824785,0.0005552649707770283,0.8021538858096897,0.008796166920104676,0.021019105673561,8.019020208385363e-05,5.7511273792429204e-05,6.108879078018582e-05,7.48142318483995e-05,0.0002760855395864376,0.00013886447852632085,0.002208765294096067,0.0008157875427961119
XOM,Energy,0.12330657124703728,0.032404847530688084,0.048196352494681884,0.0072236534947058,0.01951598446399941,0.1277109206591429,0.00011765519680021599,0.00011127304081067319,0.5675415997432222,0.05601569781536184,0.016059997410643796,4.184259863135966e-05,4.065349103040268e-05,3.826232120641771e-05,0.00012073840581967404,0.00029749586485746575,0.00017654428218152353,0.0010037299012531906,7.618003792592795e-05
CVX,Energy,0.0781881608729986,0.03622903803494668,0.04464487858687418,0.025901172880878683,0.04518997013474186,0.0718817696740627,0.0003345938035994249,0.00011478957216217432,0.2211703642409291,0.2580531043347515,0.2151860727003965,7.651055246411306e-05,5.2451048051654794e-05,8.212268858153809e-05,0.00022456586830867708,0.0005040084140493369,0.00044454142094586374,0.0016168812948823867,0.00010500387637517425
PG,Consumer Goods,0.38501114892779875,0.0022210442820489707,0.00027973990744998206,0.00014029025377531017,0.003648402824312549,0.00011064382401530348,7.045146941021815e-05,6.117479230646671e-05,0.6037908259611025,5.2929283714530596e-05,4.42483692388116e-05,4.372510279089866e-05,4.016630122036287e-05,4.234259516643801e-05,0.00023423794476784446,0.0007211544917463338,0.00046458420401876616,0.0029180216235757997,0.0001048678415402638
KO,Consumer Goods,0.25555339194052623,0.0008272065964503537,0.00020022962013480476,0.00013465011014623552,0.005056346328660129,0.00020387711184696776,0.0006917464044890614,0.00010272724587541598,0.7306235776250525,6.20778144659845e-05,0.00015689300116186825,0.0002609614327845769,9.352971139867797e-05,8.22389014588883e-05,0.00028577759896797827,0.000827062478650779,0.0011628207589967938,0.0034319947187149164,0.00024289060021781967
