Model,Ticker,Sector,Best_Params,RMSE,MAE,MAPE,R2,Train_Time_Sec
RandomForest,AAPL,Technology,"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 100}",24.29516861840978,15.932421114587303,7.052115601896176,0.05518063504054882,37.229243755340576
RandomForest,NVDA,Technology,"{'max_depth': 15, 'min_samples_leaf': 2, 'n_estimators': 100}",57.48781118373878,45.72219564392324,39.947123428686105,-1.6197227568616457,23.193179845809937
RandomForest,JNJ,Healthcare,"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 100}",0.6035186193502857,0.40210161828487245,0.2749345617358481,0.9900467585705879,17.934171676635742
RandomForest,PFE,Healthcare,"{'max_depth': 15, 'min_samples_leaf': 2, 'n_estimators': 500}",0.2500342010398196,0.16770094836291385,0.6819486099541696,0.9754877323263992,18.91264271736145
RandomForest,JPM,Financials,"{'max_depth': 20, 'min_samples_leaf': 2, 'n_estimators': 500}",44.505396922697905,35.23127011324925,17.11173252786708,-1.0873992786565712,18.783586263656616
RandomForest,GS,Financials,"{'max_depth': 15, 'min_samples_leaf': 2, 'n_estimators': 500}",92.79662986415492,63.27565152566105,12.621723288544054,-0.19673191877599683,19.197162628173828
RandomForest,XOM,Energy,"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 100}",4.835525918095166,3.4886515901817625,3.1483209518226904,0.55875736544089,19.080373764038086
RandomForest,CVX,Energy,"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 500}",0.8674634063586115,0.6020565773801747,0.4308142963561419,0.9847014303797857,20.05919599533081
RandomForest,PG,Consumer Goods,"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 200}",12.224939843475704,9.408440248627171,5.815652151906772,-0.4237692636364474,19.900726079940796
RandomForest,KO,Consumer Goods,"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 200}",4.129975611646919,2.458631286433485,3.774714669687313,0.3199279405821639,19.943207263946533
