Model,Ticker,Sector,RMSE,MAE,MAPE,R2
Naive,AAPL,Technology,2.7008622724836178,1.9919701492537305,1.0028892032958547,0.9883234692452326
Naive,NVDA,Technology,3.076805428003377,2.175910447761194,2.2774831952332963,0.9924958094735215
Naive,JNJ,Healthcare,1.3707858079741277,1.025253731343283,0.6958114072195378,0.9486521349570586
Naive,PFE,Healthcare,0.3902720061777044,0.2889552238805969,1.1443219580302315,0.9402800471123377
Naive,JPM,Financials,2.7253374979279057,1.7124179104477597,0.9060973499110219,0.9921725418345083
Naive,GS,Financials,7.16680986088577,4.64,1.0880193439416395,0.9928618736408168
Naive,XOM,Energy,1.3409605601510428,1.034716417910448,0.9855538541365765,0.9660670163688176
Naive,CVX,Energy,1.8313988618115875,1.33155223880597,0.9360046138288449,0.9318109907336415
Naive,PG,Consumer Goods,1.4640910786447563,1.0590746268656719,0.6891766227453684,0.9795787491429633
Naive,KO,Consumer Goods,0.5027521272879283,0.37674626865671634,0.6375795679357629,0.9899221522735028
