Ticker,Naive (Prev. Close),ARIMA,Linear Regression,Random Forest,XGBoost,LSTM
AAPL,1.0028892032958547,1.023727227329433,0.2763930020838196,7.052115601896176,11.773445129886609,7.267954986010365
NVDA,2.2774831952332963,2.276993462038807,0.6728726897571137,39.947123428686105,59.69309428604205,55.74382456425923
JNJ,0.6958114072195378,0.7132403930870067,0.0889720097599327,0.2749345617358481,0.3328229655955902,0.9630716797706298
PFE,1.1443219580302315,1.157572909340754,0.2559316406064481,0.6819486099541696,0.5625550951364183,2.013178211823045
JPM,0.906097349911022,0.9032744935256444,0.2806651034819983,17.11173252786708,17.071913355978182,12.39943267071084
GS,1.0880193439416397,1.1017337235590947,0.3095739041381826,12.621723288544054,12.259696311729128,8.553077167336744
XOM,0.9855538541365764,0.9847026584447496,0.260777883135032,3.1483209518226904,6.485379507807672,3.0791736221872488
CVX,0.9360046138288448,0.9487905660443424,0.2393608550690856,0.4308142963561419,0.5239524127187187,1.1560547010545623
PG,0.6891766227453684,0.6976906359610705,0.1534131003816659,5.815652151906772,5.722550109726587,3.833419522043218
KO,0.6375795679357629,0.6434225414978799,0.1272952659637681,3.774714669687313,4.074533217746362,3.106276318546572
