Ticker,Date,Open,High,Low,Close,Adj Close,Volume,Sector,SMA_5,SMA_10,SMA_20,SMA_50,EMA_12,EMA_26,MACD,MACD_signal,Close_lag_1,Volume_lag_1,Close_lag_5,Volume_lag_5,Close_lag_10,Volume_lag_10,RSI_14,ROC_5,ROC_10,Daily_Return,Volatility_10
JNJ,2019-03-14,114.4,114.78,114.07,114.13,114.13,8493600,Healthcare,114.648,114.623,113.30199999999999,109.5116,114.0712084072058,112.52255452949503,1.5486538777107768,1.6443859796786255,115.28,6446900.0,114.31,6100400.0,112.99,10133200.0,64.76923076923075,-0.15746653836060664,1.0089388441455016,-0.009975711311589253,0.006069672674049217
JNJ,2019-03-15,114.11,114.33,113.15,113.78,113.78,11922500,Healthcare,114.572,114.561,113.4745,109.6884,114.02640711378953,112.61569863842132,1.4107084753682102,1.5976504788165427,114.13,8493600.0,114.16,7046700.0,114.4,5641600.0,58.94245723172632,-0.332866152768041,-0.5419580419580461,-0.0030666783492507843,0.004628702269561647
JNJ,2019-03-18,113.83,113.93,113.06,113.43,113.43,7369600,Healthcare,114.34200000000001,114.453,113.5445,109.89139999999999,113.93465217320653,112.67601725779753,1.2586349154090044,1.5298473661350351,113.78,11922500.0,114.58,6150400.0,114.51,8377700.0,56.56716417910455,-1.003665561179956,-0.9431490699502221,-0.0030761117946914718,0.004659786994918987
JNJ,2019-03-19,113.79,114.79,113.68,114.48,114.48,5882500,Healthcare,114.22,114.42600000000002,113.69500000000001,110.08080000000001,114.01855183886707,112.8096456090718,1.208906229795275,1.4656591388670832,113.43,7369600.0,115.09,5552900.0,114.75,6568900.0,64.10596026490074,-0.5300199843600639,-0.23529411764705577,0.0092568103676276,0.005627466499655606
JNJ,2019-03-20,114.39,114.54,113.0,113.53,113.53,5475700,Healthcare,113.87,114.277,113.771,110.2648,113.9433900175029,112.863005193585,1.0803848239179104,1.3886042758772488,114.48,5882500.0,115.28,6446900.0,115.02,6236900.0,53.435114503816834,-1.5180430256766186,-1.2954268822813364,-0.008298392732354998,0.006076213779040759
JNJ,2019-03-21,113.29,114.76,113.25,114.2,114.2,5765100,Healthcare,113.88400000000001,114.26599999999999,113.91900000000001,110.4136,113.98286847634861,112.96204184591203,1.0208266304365878,1.3150487467891165,113.53,5475700.0,114.13,8493600.0,114.31,6100400.0,48.5955056179775,0.06133356698503345,-0.09622955122036148,0.00590152382630138,0.0061958205035318155
JNJ,2019-03-22,113.91,114.44,113.17,113.21,113.21,6528800,Healthcare,113.77000000000001,114.171,113.96900000000001,110.5596,113.86396563383343,112.98040911658521,0.8835565172482234,1.2287503008809382,114.2,5765100.0,113.78,11922500.0,114.16,7046700.0,41.87499999999993,-0.5009667779926286,-0.8321653819201136,-0.008669001751313576,0.006768793369558463
JNJ,2019-03-25,113.21,113.3,112.25,112.97,112.97,4500300,Healthcare,113.678,114.00999999999999,113.98599999999999,110.68800000000002,113.72643245939753,112.97963807091223,0.7467943884852986,1.1323591184018102,113.21,6528800.0,113.43,7369600.0,114.58,6150400.0,38.875,-0.40553645420083884,-1.4051317856519474,-0.0021199540676618556,0.006586995849425153
JNJ,2019-03-26,113.23,115.16,113.23,114.59,114.59,4758600,Healthcare,113.7,113.96000000000001,114.08800000000001,110.84800000000001,113.8592890041056,113.09892413973355,0.7603648643720504,1.0579602675958584,112.97,4500300.0,114.48,5882500.0,115.09,5552900.0,47.700534759358334,0.09608665269043026,-0.43444261013120267,0.014340090289457486,0.008124896459295006
JNJ,2019-03-27,114.6,115.34,114.17,114.69,114.69,6764900,Healthcare,113.93199999999999,113.901,114.205,111.0342,113.98709069578166,113.2167816108644,0.7703090849172582,1.0004300310601384,114.59,4758600.0,113.53,5475700.0,115.28,6446900.0,52.17391304347824,1.0217563639566496,-0.5117973629424011,0.0008726764988218338,0.00810671676396198
JNJ,2019-03-28,114.99,115.32,114.7,114.84,114.84,4602100,Healthcare,114.05999999999999,113.97200000000001,114.29750000000001,111.20559999999999,114.11830751181525,113.33702001005963,0.7812875017556138,0.9566015251992335,114.69,6764900.0,114.2,5765100.0,114.13,8493600.0,53.890160183066406,0.5604203152364207,0.6220976079909013,0.0013078733978550972,0.007392519932087232
JNJ,2019-03-29,115.17,115.67,114.84,115.59,115.59,7168400,Healthcare,114.53600000000002,114.15299999999999,114.357,111.41380000000001,114.34472174076674,113.50390741672187,0.8408143240448709,0.933444084968361,114.84,4602100.0,113.21,6528800.0,113.78,11922500.0,55.567805953693515,2.102287783764689,1.5907892423976167,0.0065308254963427625,0.007479613559678855
JNJ,2019-04-01,115.76,116.01,114.73,114.93,114.93,5885200,Healthcare,114.928,114.303,114.37800000000001,111.5916,114.43476454987956,113.6095439043721,0.8252206455074571,0.9117993970761803,115.59,7168400.0,112.97,4500300.0,113.43,7369600.0,49.132321041214766,1.734973886872626,1.3224014810896634,-0.00570983649104595,0.007705697874257721
JNJ,2019-04-02,114.95,114.95,113.21,113.87,113.87,5517800,Healthcare,114.78400000000002,114.24199999999999,114.33400000000002,111.72179999999999,114.34787769605194,113.62883694849269,0.719040747559248,0.8732476671727939,114.93,5885200.0,114.59,4758600.0,114.48,5882500.0,43.01288404360755,-0.6283270791517581,-0.5328441649196325,-0.00922300530757858,0.007811654238789533
JNJ,2019-04-03,114.28,114.31,113.18,113.43,113.43,5947000,Healthcare,114.53200000000001,114.232,114.25449999999998,111.8742,114.20666574281319,113.61410828564138,0.5925574571718073,0.8171096251725967,113.87,5517800.0,114.69,6764900.0,113.53,5475700.0,46.268656716417965,-1.098613654198266,-0.08808244516866903,-0.003864055501888064,0.007437089344781489
JNJ,2019-04-04,113.18,113.3,111.74,112.11,112.11,5844600,Healthcare,113.98600000000002,114.023,114.1445,112.0002,113.88410178238038,113.50269285707535,0.38140892530503834,0.7299694851990851,113.43,5947000.0,114.84,4602100.0,114.2,5765100.0,41.93236714975845,-2.3772204806687625,-1.8301225919439612,-0.011637133033589042,0.007926097534117143
JNJ,2019-04-05,112.49,112.94,112.21,112.61,112.61,4759700,Healthcare,113.39000000000001,113.96300000000001,114.06700000000001,112.1654,113.68808612355264,113.43656746025495,0.2515186632976878,0.6342793208188057,112.11,5844600.0,115.59,7168400.0,113.21,6528800.0,46.09523809523807,-2.5780776883813528,-0.5299885169154583,0.00445990545000452,0.0077504407409065175
JNJ,2019-04-08,112.5,112.88,112.21,112.58,112.58,4329600,Healthcare,112.92,113.924,113.96700000000001,112.31020000000001,113.51761133531377,113.37311801875458,0.14449331655919195,0.536322119966883,112.61,4759700.0,114.93,5885200.0,112.97,4500300.0,39.97890295358649,-2.044722874793359,-0.3452243958573131,-0.0002664061806233464,0.007729643754662535
JNJ,2019-04-09,112.46,112.68,111.27,112.11,112.11,5210300,Healthcare,112.56800000000001,113.676,113.81800000000001,112.4332,113.3010557452655,113.27955372106905,0.021502024196450975,0.4333581008127966,112.58,4329600.0,113.87,5517800.0,114.59,4758600.0,42.11111111111111,-1.5456222007552478,-2.164237717078288,-0.004174809024693582,0.005806396659392131
